LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
VASRTY, Cantaloupe Hospital,50+,Woman or female,Good,"THE DOCTORS AND ALL STAFF WERE DILIGENT, CAPABLE , CONSIDERATE ACTUALLY EXCELLENT/FABILESS, EVERYONE I WAS IN CONTACT WITH WERE DOING A GREAT JOB IN VERY DIFFICULT LOCATION - CRAMPED, OVERCROWDED CONDITIONS. I HAD A PROBLEM WITH THIS PERSONALLY IT WAS NOT A GOOD EXPERIENCE.","THESE CONDITIONS NO LONGER EXIST. I AM IN XXXX INSURANCE I HAD REQUESTED A SINGLE ROOM AS MY FUND WAS PAYING, EVEN THOUGH I AM A XXXX I FIND IT DIFFICULT TO PAY OVER $2,000 PER YEAR. I THOUGHT IT WOULD HELP PUBLIC HOSP. SYSTEM. IT WAS SO LACKED SHARE 1 ROOM WITH ANOTHER PERSON I HAD TO SHARE A BATHROOM WITH 2 OTHER PEOPLE. I HAD TO 'TEND' A SEVERELY HANDICAPPED PATIENT GETTING IN OUT OF BED TO ADVISE STAFF TO PUT HIM/HER UP THEN I WOULD FEED HIM/HER UNTIL SOMEONE CAME TO TAKE OVER! WHEN PERSON WAS DISCHARGED, ANOTHER PERSON CAME *** TO A VERY NOISY *** AND THE BUTTON WASN'T WORKING SO I WAS UP & DOWN TELLING STAFF TO COME I *** HIM/HER MACHINE WASN'T WORKING OR TO *** NOISE OFF ETC. I COULDN'T SLEEP HAD TO HAVE A SLEEPING PILL. I WAS EXHAUSTED WHEN I WENT TO XXXX XXXX I ESPECIALLY WITH NEW MEDICAL *** ME INTO A ZOMBIE. I DO NOT HOLD ANY *** ***"
OIUWEY, Tomato Hospital,18-49,Woman or female,Good,SOME OF THE NURSES IN THE CHILDREN'S WARD WERE EXCELLENT.,"I PRESENTED TO HOSPITAL WITH PANCREATITIS AND WASN'T SEEN BY A DOCTOR IN ED FOR AN XXXX LATER, AFTER HAVING TO GET THE GENTLEMAN/LADY ON RECEPTION TO RING IN TO ED TWICE AS MY PAIN WAS EXCRUCIATING! I WAS ADMITTED INTO THE CHILDREN'S WARD TO BE MOVED 6 TIMES WHILST IN MY XXXX DAYS IN HOSPITAL. I WAS TOLD CHILDREN TAKE PRIORITY BUT I FIND THIS RIDICULOUS HAVING TO BE MOVED 6 TIMES!  THE FOOD IN HOSPITAL WAS ABSOLUTELY TERRIBLE AND THIS NEEDS A MASSIVE IMPROVEMENT."
MZNBSD, Squash Hospital,50+,Man or male,Very good,CARE IN WARD / RECOVERY,N/A
KHZJDF, Radish Hospital,50+,Man or male,Very good,"WITH DRS & NURSES HELP, I GOT BETTER. THEY WERE THE BEST",I AM TOTALLY SATISFIED WITH THE CARE & DEDICATION ALL STAFF SHOWED ME
QTYEWR, Bell pepper Hospital,50+,Man or male,Very good,WHILST NURSES WERE RUN OFF THEIR FEET THEY ALWAYS MANAGED TO SMILE & BE FRIENDLY.,ALL GOOD.
MZNBSD, Squash Hospital,50+,Woman or female,Very good,"EVERYONE WAS VERY HAPPY , PLEASANT AND PROFESSIONAL",THE ONLY THING THAT NEEDS ADDRESSING IS THE LACK OF PARKING FACILITIES
ASRTGE, Pineapple Hospital,50+,Woman or female,Good,WHEN I GOT MY MEDICATION,EVERYTHING
LAUJSH, Habanero Hospital,50+,Woman or female,Very good,MY HEALTH CONDITIONS IMPROVED,N/A
QWRET, Orange Hospital,50+,Man or male,Very good,I WAS ALWAYS THREATED WIT RESPECT AND WITHOUT ANY DELAY,ANY IMPROVEMENT THAT COULD BE DONE WILL CURTENLY MAKE XXXX HOSPITAL ONE OF THE BEST
LAUJSH, Grapes Hospital,50+,Woman or female,Good,PROMPT SERVICE BY THE HOSPITAL TEAM,"STAYING OVERNIGHT IN THE COMMON AREA WAS VERY UNCOMFORTABLE, ALTHOUGH I HAVE PRIVATE MEDICAL INSURANCE."
VASRTY, Fig Hospital,50+,Woman or female,Very good,I FELT VERY SAFE AND WELL CARED FOR.,MORE NURSING STAFF AND MORE RESPITE DURING THEIR WORKING HOUR.
KHZJDF, Kiwi Hospital,50+,Woman or female,Very good,FRIENDLINESS OF THE NURSES.,WASTAGE. MORE STAFF.
QERYUI, Tangerine Hospital,50+,Woman or female,Good,COMFORTABLE AND CLEAN ROOM (PART OF NEW HOSPITAL ROOM) MOST NURSES ARE WILLING HELPFUL. DOCTOR'S ARE GOOD,THE ROUNDS TO SEE IF THE PATIENT ESPECIALLY AT NIGHT SHOULD BE OFTEN MOST ESPECIALLY WHEN PATIENT HAS DEMENTIA. JUST TO MAKE SURE THEY ARE OK OR THEY DIDN'T HAVE A FALL GOING FROM BED TO TOILET
MZNBSD, Squash Hospital,50+,Man or male,Very good,THE NURSES WERE VERY FRIENDLY AND HELPED ME OUT,
LAUJSH, Grapes Hospital,50+,Man or male,Very good,THEY LOOKED AFTER ME SO WELL THE MEDICAL WERE INCREDIBLE AND THE ANAESTHETIST WAS THE BEST AT HIS/HER JOB,"THE ONLY THING I CAN THINK OF IS  MAKING SURE I HAVE ENOUGH PAIN MEDS TO TAKE HOME, WHEN DISCHARGED"
OPIUSD, Ugli fruit Hospital,50+,Man or male,Very good,"ALL GOOD, VERY SATISFIED NONE BETTER THAN THE OTHER.",AGAIN VERY SATISFIED - AFTERWARDS TREATS BY XXXX. TRANSITION AGE CARE FOR XXXX WEEKS. WITH EXCELLENT RESULTS. THANK YOU.
QWRET, Olive Hospital,50+,Woman or female,Very good,ALL WAS GOOD,
KHZJDF, Endive Hospital,50+,Woman or female,Very good,FRIENDLY AND HELFPUL.,NO IMPROVEMENTS NEEDED
ARTBQW, Cassava Hospital,50+,Woman or female,Very good,THE STAFF WERE HAPPY TO CARE. HELP ME AND I WAS VERY LUCKY. BLESSED TO ME THERE THANK YOU ALL,NOT MUCH
EWRTY, Yambean Hospital,18-49,Woman or female,Good,SURGEONS WERE CARING AND EXPLAINED EVERYTHING VERY WELL. NURSES ONCE I WAS ON A WARD WERE LOVELY,"THE RAFT WARS IN THE EMERGENCY DEPARTMENT WHERE I SPENT A WHOLE NIGHT AND MORNING WAS A TRULY AWFUL EXPERIENCE. I WAS SAT ON AN UNCOMFORTABLE AND UNCLEAN MUSICAL SEATING AREA WITH PATIENTS WHO HAD DRUG AND PSYCHOLOGICAL PROBLEMS. I WAS COLD, MISERABLE, UNABLE TO SLEEP AND CONFRONTED WITH A LOT OF PEOPLE GOING THROUGH MISERY. I WAS THERE FAR TOO LONG WITH NO PRIVACY."
RTUITO, Peach Hospital,50+,Woman or female,Very good,FINALLY ARRIVING IN THE CARDIAC WARD AFTER XXXX HOURS IN ED. BEING ABLE TO SEE THE OUTSIDE WORLD THROUGH A WINDOW SURROUNDED BY GREENERY & THE PEACE & QUIET WAS A RELIEF,IT WAS XXXX WEEKEND. THE ED DEPARTMENT WAS OVERWHELMED WITH PATIENTS ALTHOUGH I WAS PRIORITISED DUE TO MY CONDITION & DIDN'T HAVE TO WAIT LONG. BEING CONSULTED BY THE DR WITH MY RESULTS IN A CORRIDOR SITTING NEXT TO OTHER PATIENTS WAS IN MY OPINION INAPPROPRIATE
ARTBQW, Jackfruit Hospital,50+,Woman or female,Good,"THE EMERGENCY DEPARTMENT ON ARRIVAL ICU THE DOCTORS AND NURSES IN BOTH THESE DEPARTMENTS WERE FANTASTIC, GOING ABOVE AND BEYOND IN MY CARE AND COMMUNICATING TO MY FAMILY IN THIS VERY STRESSFUL TIME.","AFTER BEING IN THE ICU FOR SO LONG AND SO SICK THEN TRANSFERRING TO THE SURGICAL WARD THEN MEDICAL WARDS XXXX/XXXX, AT TIMES I FELT MY CARE WAS NOT TO THE STANDARD THAT MY MEDICAL CONDITION WARRANTED. SOME OF THE NURSES WERE NOT AS CARING AS OTHERS AND MY FAMILY FOUND IT HARD TO GET INFORMATION ON MY CONDITION. WHEN HITTING THE BUZZER IT WAS SOMETIMES AWHILE BEFORE ASSISTANCE CAME AND I WOULD  TAKE MYSELF TO THE TOILET EVEN THOUGH I WAS MEANT TO WAIT FOR ASSISTANCE. THE CLEANING OF THE ROOM AND BATHROOM WAS NOT SATISFACTORY, ESPECIALLY WHEN I WAS ISOLATED DUE TO AN INFECTION. THE AFTERNOON TEA GENTLEMAN/LADY REFUSED TO BRING TEA IN ANY AFTERNOON DUE TO MY ISOLATION. EVERYONE ELSE EITHER BOUGHT IT IN OR CALLED A NURSE TO BRING MY MEALS OR DRINKS IN. THE FOOD: THIS WOULD HAVE TO BE MY BIGGEST COMPLAINT. AS MY ILLNESS PROGRESSED THE CHOICES FROM THE MENU FOR ME WERE GREATLY REDUCED. IT WAS VERY BLAND AND NO VARIETY AND I RECEIVED CHICKEN, MASH POT VEG 5 NIGHTS IN A ROW. THIS WAS NOT GOOD ENOUGH!"
KHZJDF, Endive Hospital,50+,Woman or female,Very good,THE CARE YOU GET FROM STAFF WHEN THEY KNOW YOU ARE SICK,
MZNBSD, Sweet potato Hospital,50+,Man or male,Poor,"WEETBIX FOR BREAKFAST, SANDWICHES FOR ONE OTHER MEAL, FRUIT & FRUITSALAD. THE REST OFTHE FOOD WAS INEDIBLE. MEAT LOOKED AND TASTED LIEK ROADKILL, GREEN VEGETABLES LOOKED AND TASTED LIKE THEY WERE SALVAGED FROM GARBAGE CANS.","FOOD AND NURSES. I WAS ALSO ASKED TO USE MY PRIVATE HOSPITAL COVER. I RELUCTANTLY AGREED, A MISTAKE I WILL NEVER MAKE AGAIN. BEING A PUBLIC HOSPITAL I CERTAINLY DIDN'T EXPECT A PRIVATE ROOM BUT WAS JAMMED INTO A ROOM WITH 3 OTHER PATIENTS, ONE DYING WITH CANCER AND ANOTHER WITH SOME SORT OF DEMENTIA. IT WAS IMPOSSIBLE TO GET ANY SLEEP. THE MAIN TOPIC OF CONVERSATION WITH NURSES WAS WHAT THEY COULD BRING UP AT THE NEXT UNION MEETING."
QERYUI, Tangerine Hospital,50+,Woman or female,Good,"STAFF VERY FRIENDLY, CARING AND PROFESSIONAL","AS I WAS INDEPENDENT AND ABLE TO CARE FOR MYSELF I DID NOT EXPERIENCE ANY DIFFICULTIES BUT DID NOTICE WITH ELDERLY PATIENTS ASSISTANCE WAS NEEDED TO MAKE SURE THEY COULD REACH THEIR MEALS, NEEDED ASSISTANCE TO OPEN SEALED CONTENTS. THIS WAS OFTEN PROVIDED BY OTHER PATIENTS."
LAUJSH, Grapes Hospital,50+,Woman or female,Good,"THE DOCTORS WHO WERE ATTENTIVE AND WILLING TO EXPLAIN REASONS FOR TESTS, TREATMENT, ETC",NURSING STAFF AT NIGHT. ALTHOUGH AWARE OF STAFF SHORTAGES RESULTING IN THEM BEING OVERWORKED SOME PERSONNEL WERE RUDE & EVEN NEGLIGENT EG HAVING TO BE REMINDED ABOUT MEDICATION.
MZNBSD, Squash Hospital,50+,Woman or female,Very good,"IT TOOK ME XXXX DAYS TO ADJUST TO BEING IN REHAB INCLUDING ADJUSTING TO MY PHYSICAL SITUATION-BUT I SOON FELT VERY COMFORTABLE AND ENJOYED GETTING TO KNOW THE STAFF AND OTHER PATIENTS. I HAVE TO SAY I WAS INSPIRED BY OTHER PEOPLES SITUATIONS, HOW THEY COPED, MANY OF THE NURSES AND CLEANERS WERE FUN, VERY POLITE. WORKING AS AN IMPRESSIVE TEAM, THE OCCUPATIONAL THERAPIST WERE FUN AND INSPIRING TOO",POSSIBLY THE FOOD COULD BE A BIT TASTIER AND AS A HEALTHY EATER-JUST A BIT MORE BALANCED-BEARING IN MIND THAT IT IS VERY DIFFICULT-ECONOMICALLY AND IN LARGE AMOUNTS TO ACCOMPLISH THESE THINGS-IT DEFINITELY WASN'T THE WORST FOOD. ONLY THING I DIDN'T LIKE WITH ONE OR TWO NURSES. WAS BEING PUT DOWN FOR BEING POST-OP *** MOST WERE NICE THOUGH
KHZJDF, Strawberry Hospital,50+,Woman or female,Very good,MY XXXX DAYS IN ICU WERE VERY GOOD THE STAFF WERE WONDERFUL AND I FELT REALLY LOOKED AFTER,MY ROOM IN THE WARD WAS DIRTY AND HAD BLOOD ON THE FLOOR. THE BATHROOM HAD HAIR AND RUBBISH ON THE FLOOR. THE ROOM WAS NOT CLEANED AT ALL IN THE XXXX DAYS I WAS THERE. VERY DISAPPOINTED IN THE CLEANLINESS OF MY ROOM COMPARED TO ICU WHICH WAS CLEANED PROPERLY EVERYDAY
QERYUI, Durian Hospital,18-49,Woman or female,Very good,THE GENUINE CARE I RECEIVED FROM ALL THE NURSING STAFF IN THE WARD.,
CVBHMI, Dragonfruit Hospital,50+,Man or male,Very good,I HAVE NEVER SPENT A NIGHT IN HOSPITAL AND I FOUND THE STAFF MADE SURE I WAS AS COMFORTABLE AS POSSIBLE,I HAVE NO ANSWER FOR THIS QUESTION
OIUWEY, Avocado Hospital,50+,Man or male,Very good,COURTESY AND CONCERN PLUS GOOD MANNERS OF THE STAFF ESPECIALLY THE NURSES.,
MZNBSD, Papaya Hospital,50+,Man or male,Very good,BEING LOOKED AFTER.,WHY DO WE NEED TO WEAR A GOWN FRONT & REVERSE. TO DRESS IN A GOWN. I FIND THAT YOU TIE ALL STRAPS TIGHTLY. THEN SLIP GOWN. OVER YOUR HEAD. AS IF YOU WERE PUTTING ON JUMPER.
QERYUI, Durian Hospital,50+,Woman or female,Very good,I WENT HOME HEALTHY,ALL OK
QERYUI, Tangerine Hospital,50+,Woman or female,.,GENERAL NURSING & MEALS,"STAFF TO TALK TO YOU & NOT ABOUT YOU AS IF YOU AREN'T THERE! ALSO WHEN YOU HAVE A PROCEDURE & HAVE TO LAY STILL FOR, SAY XXXX HR, EITHER YOU ARE PLACED SO YOU CAN SEE A CLOCK OR SOMEONE COMES BACK IN THAT XXXX HOUR SO YOU KNOW YOU CAN MOVE!"
KHZJDF, Pomegranate Hospital,50+,Woman or female,Very good,EVERYONE WAS VERY HELPFUL,EVERYTHING WENT WELL
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,"ALL STAFF WERE PROFESSIONAL, FRIENDLY AND CARING. THE STAFF WERE NURSES DOCTORS PHYSIOTHERAPIST, OCCUPATIONAL THERAPIST & CATERING, CLEANERS. EVERYONE WAS KIND.",
LAUJSH, Grapes Hospital,50+,Woman or female,Good,"XXXX XXXX I WENT TO ED WITH A INFECTED CYST WAS OPERATED THE NEXT DAY AND SENT HOME, ONE WEEK LATER I WAS BACK TO ED AS WAS INFECTED ANOTHER OPERATION AND SENT HOME WITH NO FOLLOW UP. XXXX XXXX LATER I WAS BACK IN ED & HAD XXXX STAYED IN HOSPITAL FOR XXXX WEEKS",MAKE SURE THERE IS FOLLOW UPS I HAD XXXX OPERATIONS FOR ONE CYST. IF THERE WAS FOLLOW UP OR EXPLAINED TO ME WHAT TO DO I WOULD NOT BE IN THE CONDITION I'M IN THIS IN WEEK XXXX FOR ME AND STILL CHANGING BANDAGES ALL FROM ONE CYST
QERYUI, Daikon Hospital,50+,Man or male,Good,JOINING IN GROUPS FOR EXCISING,FOOD
OIUWEY, Avocado Hospital,50+,Woman or female,Very good,I ALWAYS FELT THAT I WAS BEING CARED FOR BY VERY BUSY NURSES WHO STILL HAD TIME FOR ME.,I FIND IT HARD TO COMPLAIN ABOUT ANY TREATMENT OR HELP I RECEIVED FROM DOCTORS & NURSES
KHZJDF, Strawberry Hospital,50+,Man or male,Good,"THE XXXX NURSING STAFF WERE FABULOUS. THE XXXX NURSES TO BE FAIR, WERE PROBABLY AT THE END OF THEIR CAREERS, BUT STILL VERY COMPETENT",
MZNBSD, Papaya Hospital,50+,Woman or female,Very good,I HAD IMPLANTS TAKEN OUT AND I'M JUST VERY GRATEFUL THE HOSPITAL TOOK ME IN AS I HAVEN'T GOT PRIVATE COVER DUE TO BEING ON A CARERS PAYMENT AND I'M BY MYSEFL. I AM VERY THANKFUL FOR THE CARE I WAS GIVEN.,THERE IS NOTHING I CAN SAY AS I AM EXTREMELY GRATEFUL FOR MY CARE.
MZNBSD, Starfruit Hospital,50+,Woman or female,Good,"DOCTOR WAS EXCELLENT. NURSES OK, BUT WOULDN'T LISTEN TO ME WHEN I TRIED TO TELL THEN THAT THE IV DRIP WAS HURTING MY HAND. HAND SWELLED AND WAS AGONY DOCTOR WAS NOT HAPPY. FOOD-I COULDN'T EAT IT, IT WAS DISGUSTING I BOUGHT FOOD FROM KIOSK","NURSES NEED TO RETIRE IF THEY DON'T LIKE THEIR JOB. FOOD DEFINITELY NEEDS IMPROVING. BATHROOM HAD URINE ALL OVER THE FLOOR MY DRESSING GOWN STUNK, STAFF WERE NOT HAPPY TO MOP IT WHEN INFORMED"
EWRTY, Kumquat Hospital,50+,Man or male,Good,THE NURSES AND ON EMERGENCY RECEIVING ME TO THE HOSPITAL NO VERY GOOD,NEED MORE EQUIPMENT TO DEAL WITH HEART PROBLEMS AND STROKE PROBLEMS POSSIBLY  HEART DEPARTMENT
OPIUSD, Feijoa Hospital,50+,Woman or female,Very good,OPERATION BEING A SUCCESS .... AND WE HAD AN EXCELLENT DOCTOR /SPECIALIST .....DR XXXX,THE FOOD WAS TERRIBLE
ASRTGE, Pineapple Hospital,50+,Man or male,Very good,CAN'T RECALL - I HAD NO COMPLAINTS! I WENT TRAVELLING FOR XXXX DAYS WITHOUT ANY OF MY DIABETES MEDICATION. A PERSON WHO WAS DIABETIC RECOGNISED I SHOULD NOT BE DRIVING AND ARRANGED AN AMBULANCE FROM XXXX TO XXXX,NONE
BNAVSE, Melon Hospital,50+,Woman or female,Very good,THE NURSES WERE ALWAYS HELPFUL AND MADE MY STAY IN HOSPITAL SO MUCH BETTER,POSSIBLE MORE NURSES IN THE WARDS AND EMERGENCY.
QESRRT, Lotus root Hospital,50+,Woman or female,Very good,THE NURSES WERE WONDERFUL PLUS PLUS. THE FOOD WAS PERFECT COULD NOT FAULT LOVELY COOKED COOKED MEALS,THE AIR CONDITIONING IT WAS VERY COLD WE ALL WERE VERYE COLD. THE NURSES KEPT GETTING US WARM BLANKETS. THE HOSPITAL IS FANTASTIC I WOULD PRAISE THIS HOSPITAL UP. IT WAS WONDERFUL
CVBHMI, Bean sprouts Hospital,50+,Man or male,Very good,EVERYONE DID THEIR JOB OF A HIGH STANDARD. I AM MORE THAN HAPPY WITH THE CARE I RECEIVED FROM THE START TO THE FINISH,NO IMPROVEMENT NEEDED.
CVBHMI, Dragonfruit Hospital,50+,Woman or female,Very good,THE STAFF WERE THE BEST PART,WHEN YOU HAVE HAD SURGERY AFTER FASTING 12 HOURS BEING GIVEN LUKE WARM WEAK SOUP AND A SLICE OF WHITE BREAD FOR BOTH LUNCH AND DINNER THEN TWO PIECES OF COLD TOAST FOR BREAKFAST IS NOT REALLY ACCEPTABLE ESPECIALLY USING PRIVATE INSURANCE. SMALL POINT BUT VERY RELEVANT TO CARE.
VASRTY, Cantaloupe Hospital,50+,Man or male,Very good,"I WAS LOOKED AFTER LIKE ROYALTY (MAYBE EVEN OVER-SERVICED A LITTLE). I BELIEVE THE HOSPITAL WAS NEW, WITH FEW PATIENTS AND SO, HAD LOTS OF DIFFERENT SERVICES LOOKING AFTER ME.  VERY GOOD FACILITIES TOPPED OFF WITH EXCELLENT SERVICE.",NIL.
LAUJSH, Grapes Hospital,50+,Woman or female,Very good,MOST OF THE STAFF WERE HELPFUL AND CARING.,ONE NURSE ON NIGHT SHIFT WAS VERY ABRUPT AND NOT HELPFUL. WHEN I ASKED HIM/HER TO HELP PUT MY RIGHT LEG UP ON THE BED HE/SHE DISAPPEARED.  I HAD JUST HAD A RIGHT TOTAL HIP REPLACEMENT.
OIUWEY, Tomato Hospital,50+,Woman or female,Very good,UNDERSTANDING FROM THE NURSES HOW TO MANAGE MY PAIN. THEY WERE ALL LOVELY AND NOTHING WAS TOO MUCH TROUBLE,MORE NURSES AS THEY ARE RUN OFF THEIR FEET BUT ALWAYS HAD A SMILE
QESRRT, Jicama Hospital,18-49,Woman or female,Poor,THE XXXX DOCTORS THAT LOOKED AFTER ME WERE FANTASTIC IN ENSURING I WAS PROPERLY DIAGNOSED AND ON THE RIGHT MEDICATION/ TREATMENT,THE NURSES ATTITUDE AND THE LACK OF EMPATHY OR CARE THEY PROVIDE.
QESRRT, Water chestnut Hospital,50+,Man or male,Good,"XXXX SPENT THE NIGHT AT ANOTHER DEPARTMENT. IN THE MORNING I WAS SEEN TO BY AN EXCELLENT DOCTOR BY THE NAME OF DR XXXX, WHO DISCHARGED ME WITH AN EXCELLENT MEDICINE.","RE: POINTS 22, 23, 27, 30 AND 49. UPON ADMISSION I WAS SHORTLY GIVEN A BLOOD TEST. THE SAMPLES WERE LEFT ON MY BEDSIDE TABLE ALL DAY AND EVENTUALLY THROWN OUT. RE: DOCTORS IN EMERGENCY. THEY ARE ALL INEXPERIENCED. THEIR LEADER SPENT 90% OF HIS/HER TIME ON THE PHONE CONSULTING WITH SPECIALISTS. HE/SHE ORDERED AN X-RAY (CHEST) FOR ME, I DREW HIS/HER ATTENTION TO MY ADVANCED EMPHYSEMA SAYING IT WOULD HAVE A HARMFUL EFFECT. HE/SHE ORDERED THE CHEST X-RAY ANYWAY."
QERYUI, Tangerine Hospital,50+,Man or male,Very good,GOING HOME,TOILETS WERE NOT VERY CLEAN
VASRTY, Okra Hospital,50+,Man or male,Very good,THERE WERE XXXX NURSES HELP US ETC. WAS IN XXXX DURING XXXX RULE. SPEAK TWO OF THEIR LANGUAGES AND GOT EXTRA CARE.,THAT HAVING GOLD INSURANCE SAVED ME THE MOST FURTHER TO HAVE A PRIVATE ROOM ETC. WHICH PLAYED A MAJOR *** IN MANY WAYS THAT IS MY DEAL.
MZNBSD, Starfruit Hospital,50+,Woman or female,Very good,"BEEN CARED FOR WELL, BY CARING PEOPLE.",
OIUWEY, Pear Hospital,50+,Woman or female,Very good,"THE KINDNESS, CARING AND PROFESSIONALISM OF EVERYONE INVOLVED IN MY SURGERY AND CARE BEFORE DURING AND AFTER.","NOTHING, I COULDN'T HAVE BEEN LOOKED AFTER ANY BETTER"
ARTBQW, Zucchini Hospital,50+,Man or male,Very good,OVERALL CARE,NONE
VASRTY, Passionfruit Hospital,50+,Woman or female,Very good,STAFF WERE RESPONSIVE AND FRIENDLY & INFORMATIVE EVEN THOUGH THEY WERE EXTEMELY BUSY. WELL DONE ALL.,ALL GOOD.
QERYUI, Durian Hospital,50+,Woman or female,Very good,"I WAS IN HOSPITAL AT THE TIME OF COVID, SO I HAD A BED IN THE EMERGENCY WARD, AS ALL THE WARDS WERE FULL, ( BUSY MORNING/NIGHTS), NO VISITORS. I WAS COMFORTABLE, I WAS TO SICK TO CARE, I GOT THE BEST CARE, THE NURSES WHERE AMAZING. I FULLY APPRECIATE THE HARD WORK FROM THE NURSES AND OTHER STAFF WHO DID NOT STOP. I HAD TO SHARE A ROOM WITH MEN/WOMEN, AND OLDER PATIENTS WHICH WAS OK, BUT COULD NOT BE HELPED DUE TO NO WARD BEDS AVAILABLE. I WAS LUCKY TO GET A BED AT ALL. SO I WAS GRATEFUL, I WAS COMFORTABLE, HAD ENOUGH PRIVACY AND CARED FOR WELL CONSIDERING THE SITUATION OF THE HOSPITAL DURING THESE HARD TIMES.","CONSIDERING WHAT I HAD SAID ABOVE, I CANNOT FAULT THE PROFESSIONAL CARE I RECEIVED FROM THE TIME I ARRIVED AT THE HOSPITAL TILL THE TIME I LEFT THE HOSPITAL. I TAKE MY HAT OF TO THE DOCTORS, NURSES AND ALL THE STAFF WHO STAYED SO PROFESSIONAL THROUGH THIS PANDEMIC OF PATIENTS. THE HOSPITAL WAS SO BUSY EVEN AFTER I LEFT AFTER XXXX DAYS. EMERGENCY THERE WERE PEOPLE STILL WAITING IN HALLWAYS, WAITING ROOM AND OUTSIDE TO RECEIVE TREATMENT. BE WONDERFUL TO EXTEND THE HOSPITAL MORE TO MAKE MORE WARDS TO ACCOMODATE THE GROWTH ON THE XXXX AND OF COURSE WE NEED MORE DOCTORS/NURSES."
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,"IT FELT LIKE A 5 * HOTEL TO ME ,THE FOOD WAS GREAT I WAS IN EMERGENCY ALL DAY ,THEN A ROOM OVERNIGHT.","JUST ONE THING WHEN I DID HAVE SOME QUESTIONS OVER THE DAY IT WAS HARD TO CATCH SOMEONE TO ASK BECAUSE THEY WERE ALL ALMOST RUNNING THEY WERE SO BUSY I  WAS WORN OUT JUST WATCHING .I DID CATCH THEM EVENTUALLY AND MINE WERE NOT URGENT, SO IT WAS NEVER A PROBLEM."
QWRET, Olive Hospital,50+,Man or male,Very good,NURSES AND DOCTORS KEPT MY NEXT OF KIN UPDATED. I STRUGGLE WITH UNDERSTANDING THINGS RELATED TO MY CARE.,"THE FOOD WAS NOT VERY GOOD. AND I WAS TOLD SERVICES WOULD BE MADE AVAILABLE AFTER DISCHARGE FROM THE SOCIAL WORKER AND I AM STILL WAITING. EVEN AFTER ANOTHER XXXX STAYS IN OTHER HOSPITALS I HAVE NOT RECEIVED EXTRA SERVCIES. I AM RECEIVING PALLIATIVE CARE SERVICE AND HAVE A NURSE VISIT. BUT STILL REQUIRING DOMESTIC ASSISTANCE AND MY BATHROOM NEEDS TO BE MADE SAFER, I HAVE BEEN TOLD EACH TIME I HAVE LEFT HOSPITAL THAT THESE SERVICES WOULD BE IN CONTACT."
RTUITO, Serrano Hospital,50+,Woman or female,Very good,ALL THE CARE AND SUPPORT THE HOSPITAL STAFF GAVE ME. ALWAYS THERE FOR ME IN ANY WAY I NEEDED AT THE TIME.,
QESRRT, Water chestnut Hospital,50+,Woman or female,Very good,"I FOUND THE NURSING STAFF EXCELLENT. THEY WERE CONSIDERATE, CARING, WARM HEARTED & RESPONSIVE. THE ED STAFF WERE ALSO VERY GOOD.","THE FOOD COULD BE BETTER. THE DOCTOR WHO DISCHARGED ME WAS POLITE, BUT DID NOT GIVE ME ENOUGH HELP AROUND THE FOLLOW UP I NEEDED OUTSIDE THE HOSPITAL. HE/SHE LEFT IT TO ME TO CONTACT CARDIOLOGIST WHICH IN TURN HELD UP ME RECEIVING THE ONGOING INVESTIGATION I NEEDED."
RTUITO, Fiddleheads Hospital,50+,Man or male,Very good,THE NURSES WERE VERY ATTENTIVE - HELPFUL - AESTHETICALLY - NICE VIEW OUT OF THE WINDOW - BED WAS COMFY - 'FREE' TV WHICH WAS GREAT!,HEALTH CARE WAS 2ND TO NONE - BUT THE FOOD WAS PRETTY ORDINARY & CONFUSED IN THAT WHAT I ORDERED WASN'T TOTALLY WHAT I GOT - SOMETHINGS WERE MISSING INCOLUDING SUITABLE CUTLERY - BEVERAGES WERE ONLY LUKE WARM - TEA ETC.
QWRET, Orange Hospital,50+,Man or male,Very good,ALL,ALL IS GOOD
